Id,Key,Name,Type
1,Wales Premier League 2016-2017,Wales Premier League,Football match
2,Germany 3. Liga 2016-2017,Germany 3. Liga,Football match
3,Chile Primera División 2016-2017,Chile Primera División,Football match
4,Austria Bundesliga 2016-2017,Austria Bundesliga,Football match
5,France Ligue 2 2016-2017,France Ligue 2,Football match
6,League Two 2016-2017,League Two,Football match
7,League One 2016-2017,League One,Football match
8,Scottish League One 2016-2017,Scottish League One,Football match
9,Finland Suomen Cup 2016-2017,Finland Suomen Cup,Football match
10,National League N / S 2016-2017,National League N / S,Football match
11,Brazil Mineiro 1 2017,Brazil Mineiro 1,Football match
12,Scottish League Two 2016-2017,Scottish League Two,Football match
13,Spain Segunda División 2016-2017,Spain Segunda División,Football match
14,Greece Super League 2016-2017,Greece Super League,Football match
15,Brazil Paulista A1 2017,Brazil Paulista A1,Football match
16,Club Friendlies 2017,Club Friendlies,Football match
17,Portugal Segunda Liga 2016-2017,Portugal Segunda Liga,Football match
18,Championship 2016-2017,Championship,Football match
19,Germany Regionalliga 2016-2017,Germany Regionalliga,Football match
20,Spain Primera División 2016-2017,Spain Primera División,Football match
21,National League 2016-2017,National League,Football match
22,Belgium First Division A 2016-2017,Belgium First Division A,Football match
23,Turkey Süper Lig 2016-2017,Turkey Süper Lig,Football match
24,Colombia Primera A 2017,Colombia Primera A,Football match
25,Brazil Gaucho 1 2017,Brazil Gaucho 1,Football match
26,Premier League 2016-2017,Premier League,Football match
27,France Ligue 1 2016-2017,France Ligue 1,Football match
28,Brazil Paranaense 1 2017,Brazil Paranaense 1,Football match
29,Argentina Prim B Nacional 2016-2017,Argentina Prim B Nacional,Football match
30,France National 2016-2017,France National,Football match
31,Italy Serie A 2016-2017,Italy Serie A,Football match
32,India I-League 2017,India ILeague,Football match
33,Poland Ekstraklasa 2016-2017,Poland Ekstraklasa,Football match
34,Switzerland Super League 2016-2017,Switzerland Super League,Football match
35,Netherlands Eredivisie 2016-2017,Netherlands Eredivisie,Football match
36,Europe UEFA Champions League 2016-2017,Europe UEFA Champions League,Football match
37,Portugal Primeira Liga 2016-2017,Portugal Primeira Liga,Football match
38,Australia A-League 2016-2017,Australia ALeague,Football match
39,Italy Serie B 2016-2017,Italy Serie B,Football match
40,Uruguay Primera División 2017,Uruguay Primera División,Football match
41,Romania Liga I 2016-2017,Romania Liga I,Football match
42,Northern Ireland Premiership 2016-2017,Northern Ireland Premiership,Football match
43,Mexico Liga MX 2016-2017,Mexico Liga MX,Football match
44,Scottish Cup 2016-2017,Scottish Cup,Football match
45,Netherlands Eerste Divisie 2016-2017,Netherlands Eerste Divisie,Football match
46,Germany 2. Bundesliga 2016-2017,Germany 2. Bundesliga,Football match
47,United Arab Emirates Arabian Gulf League 2016-2017,United Arab Emirates Arabian Gulf League,Football match
48,Germany Bundesliga 2016-2017,Germany Bundesliga,Football match
49,Israel Ligat ha'Al 2016-2017,Israel Ligat ha'Al,Football match
50,Scottish Premiership 2016-2017,Scottish Premiership,Football match
51,Brazil Catarinense 1 2017,Brazil Catarinense 1,Football match
